entidad,relacion,objetos,pregunta,respuestas,obtenido_de,respuestas_aliases
Alberto van Klaveren,Educado en,"['Universidad de Leiden', 'Universidad de Chile', 'Universidad de Denver', 'Josef Korbel School of International Studies', ""Saint Gabriel's School""]",Contesta la siguiente pregunta: ¿Dónde estudió Alberto van Klaveren?,"['Universidad de Leiden', 'Universidad de Chile', 'Universidad de Denver', 'Josef Korbel School of International Studies', ""Saint Gabriel's School""]","['chile', 'chile', 'chile', 'chile', 'chile']","[['Leiden University', 'Universidad Leiden', 'Universiteit Leiden'], ['Universidad de Chile', 'UChile'], [], [], []]"
Albio Sires,Educado en,"['Middlebury College', 'Universidad de San Pedro', 'Memorial High School']",Contesta la siguiente pregunta: ¿Dónde estudió Albio Sires?,"['Middlebury College', 'Universidad de San Pedro', 'Memorial High School']","['cuba', 'cuba', 'cuba']","[[], ['Universidad de San Pedro', ""Saint Peter's College""], []]"
Alcibiades Hidalgo,Educado en,['Universidad de La Habana'],Contesta la siguiente pregunta: ¿Dónde estudió Alcibiades Hidalgo?,['Universidad de La Habana'],['cuba'],[['Universidad de La Habana']]
Alcibíades Roldán Álvarez,Educado en,"['Universidad de Chile', 'Instituto Nacional', 'Liceo Neandro Schilling']",Contesta la siguiente pregunta: ¿Dónde estudió Alcibíades Roldán Álvarez?,"['Universidad de Chile', 'Instituto Nacional', 'Liceo Neandro Schilling']","['chile', 'chile', 'chile']","[['Universidad de Chile', 'UChile'], ['Instituto Nacional', 'Instituto Nacional General José Miguel Carrera', 'Instituto Nacional Jose Miguel Carrera'], []]"
Alcides Carón,Educado en,['Universidad Nacional de Educación Física y Deporte de Ucrania'],Contesta la siguiente pregunta: ¿Dónde estudió Alcides Carón?,['Universidad Nacional de Educación Física y Deporte de Ucrania'],['cuba'],[[]]
Alda Facio,Educado en,"['Universidad de Nueva York', 'Universidad de Costa Rica']",Contesta la siguiente pregunta: ¿Dónde estudió Alda Facio?,"['Universidad de Nueva York', 'Universidad de Costa Rica']","['costa_rica', 'costa_rica']","[['Universidad de Nueva York', 'Universidad de la Ciudad De Nueva York'], ['Universidad de Costa Rica', 'UCR']]"
Aldo Bahamonde,Educado en,['Universidad Complutense de Madrid'],Contesta la siguiente pregunta: ¿Dónde estudió Aldo Bahamonde?,['Universidad Complutense de Madrid'],['chile'],"[['Universidad Complutense de Madrid', 'UCM']]"
Aldo Bernucci,Educado en,['Universidad de Concepción'],Contesta la siguiente pregunta: ¿Dónde estudió Aldo Bernucci?,['Universidad de Concepción'],['chile'],"[['U de Conce', 'UdeC', 'UDEC', 'Universidad de Concepcion']]"
Aldo Cornejo,Educado en,['Pontificia Universidad Católica de Valparaíso'],Contesta la siguiente pregunta: ¿Dónde estudió Aldo Cornejo?,['Pontificia Universidad Católica de Valparaíso'],['chile'],"[['Pontificia Universidad Católica de Valparaiso', 'PUCV', 'Universidad Catolica de Valparaiso', 'Universidad Catolica de Valparaíso', 'Universidad Católica de Valparaiso', 'Universidad Católica de Valparaíso']]"
Aldo Francia,Educado en,['Universidad de Chile'],Contesta la siguiente pregunta: ¿Dónde estudió Aldo Francia?,['Universidad de Chile'],['chile'],"[['Universidad de Chile', 'UChile']]"
Alejandra Benítez,Educado en,['Universidad Central de Venezuela'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandra Benítez?,['Universidad Central de Venezuela'],['venezuela'],"[['UCV', 'Real y Pontificia Universidad de Caracas', 'Universidad Central de Caracas', 'Universidad de Caracas']]"
Alejandra Castro,Educado en,['Universidad de Costa Rica'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandra Castro?,['Universidad de Costa Rica'],['costa_rica'],"[['Universidad de Costa Rica', 'UCR']]"
Alejandra Costamagna,Educado en,"['Universidad de Chile', 'Universidad Diego Portales']",Contesta la siguiente pregunta: ¿Dónde estudió Alejandra Costamagna?,"['Universidad de Chile', 'Universidad Diego Portales']","['chile', 'chile']","[['Universidad de Chile', 'UChile'], ['Universidad Diego Portales']]"
Alejandra Pizarnik,Educado en,"['Sorbonne Universidad de París', 'Facultad de Filosofía y Letras (UBA)']",Contesta la siguiente pregunta: ¿Dónde estudió Alejandra Pizarnik?,"['Sorbonne Universidad de París', 'Facultad de Filosofía y Letras (UBA)']","['argentina', 'argentina']","[['Sorbonne Universidad de París', 'Universidad de Paris', 'Universités de Paris', 'Universidade de Paris', 'Universite de Paris', 'Université de Paris'], ['FFyL', 'Facultad de Filosofia y Letras de la Universidad de Buenos Aires', 'Universidad de Buenos Aires. Facultad de Filosofía y Letras']]"
Alejandra Solano,Educado en,['Escuela Libre de Derecho'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandra Solano?,['Escuela Libre de Derecho'],['costa_rica'],[[]]
Alejandro Agustín Lanusse,Educado en,['Colegio Militar de la Nación'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Agustín Lanusse?,['Colegio Militar de la Nación'],['argentina'],"[['CMN', 'Colegio Militar de la Nacion', 'Colegio Militar de la Nacion (Argentina)', 'Colegio Militar de la Nacion Argentina']]"
Alejandro Alvarado García,Educado en,['Universidad de San Carlos de Guatemala'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Alvarado García?,['Universidad de San Carlos de Guatemala'],['costa_rica'],"[['USAC', 'Nacional y Pontificia Universidad de San Carlos Borromeo', 'Real y Pontificia Universidad de San Carlos Borromeo', 'Universidad Nacional de Guatemala']]"
Alejandro Amenábar,Educado en,['Universidad Complutense de Madrid'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Amenábar?,['Universidad Complutense de Madrid'],['chile'],"[['Universidad Complutense de Madrid', 'UCM']]"
Alejandro Carrión,Educado en,['Instituto Nacional Mejía'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Carrión?,['Instituto Nacional Mejía'],['ecuador'],[['Instituto Nacional Mejía']]
Alejandro Córdova Herrera,Educado en,['Universidad de San Carlos de Guatemala'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Córdova Herrera?,['Universidad de San Carlos de Guatemala'],['guatemala'],"[['USAC', 'Nacional y Pontificia Universidad de San Carlos Borromeo', 'Real y Pontificia Universidad de San Carlos Borromeo', 'Universidad Nacional de Guatemala']]"
Alejandro González Iñárritu,Educado en,['Universidad Iberoamericana'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro González Iñárritu?,['Universidad Iberoamericana'],['mexico'],"[['Ibero', 'UIA', 'Universidad Iberoamericana Ciudad de Mexico']]"
Alejandro Jenkins,Educado en,"['Universidad Harvard', 'Instituto de Tecnología de California', 'Universidad de Costa Rica']",Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Jenkins?,"['Universidad Harvard', 'Instituto de Tecnología de California', 'Universidad de Costa Rica']","['costa_rica', 'costa_rica', 'costa_rica']","[['Harvard', 'Harvard University', 'Universidad de Harvard'], ['California Institute of Technology', 'Caltech', 'Instituto de Tecnología de California'], ['Universidad de Costa Rica', 'UCR']]"
Alejandro Jodorowsky,Educado en,['Universidad de Chile'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Jodorowsky?,['Universidad de Chile'],['chile'],"[['Universidad de Chile', 'UChile']]"
Alejandro Marroquín,Educado en,['Universidad de El Salvador'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Marroquín?,['Universidad de El Salvador'],['el_salvador'],[['Universidad Nacional de El Salvador']]
Alejandro Mayorkas,Educado en,"['Escuela Secundaria de Beverly Hills', 'Universidad Loyola Marymount', 'Loyola Law School', 'Universidad de California en Berkeley']",Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Mayorkas?,"['Escuela Secundaria de Beverly Hills', 'Universidad Loyola Marymount', 'Loyola Law School', 'Universidad de California en Berkeley']","['cuba', 'cuba', 'cuba', 'cuba']","[['Beverly', 'BHHS'], ['Loyola Marymount University', 'Universidad de Loyola Marymount'], [], ['Cal', 'Berkeley', 'UC Berkeley', 'University of California, Berkeley']]"
Alejandro Noemi Callejas,Educado en,['Instituto Nacional'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Noemi Callejas?,['Instituto Nacional'],['chile'],"[['Instituto Nacional', 'Instituto Nacional General José Miguel Carrera', 'Instituto Nacional Jose Miguel Carrera']]"
Alejandro Peña Esclusa,Educado en,['Universidad Simón Bolívar'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Peña Esclusa?,['Universidad Simón Bolívar'],['venezuela'],"[['Universidad Simón Bolívar', 'USB']]"
Alejandro Planchart,Educado en,"['Universidad Harvard', 'Universidad Yale']",Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Planchart?,"['Universidad Harvard', 'Universidad Yale']","['venezuela', 'venezuela']","[['Harvard', 'Harvard University'], ['Universidad de Yale']]"
Alejandro Portes,Educado en,"['Universidad de La Habana', 'Universidad de Wisconsin-Madison', 'Universidad Católica Argentina', 'Universidad Creighton']",Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Portes?,"['Universidad de La Habana', 'Universidad de Wisconsin-Madison', 'Universidad Católica Argentina', 'Universidad Creighton']","['cuba', 'cuba', 'cuba', 'cuba']","[['Universidad de La Habana'], ['University of Wisconsin-Madison', 'UW–Madison'], ['UCA', 'Pontificia Universidad Católica Argentina', 'Pontificia Universidad Católica Argentina Santa María de los Buenos Aires', 'Universidad Catolica Argentina'], []]"
Alejandro Ramírez Álvarez,Educado en,['Universidad de Texas en Dallas'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Ramírez Álvarez?,['Universidad de Texas en Dallas'],['costa_rica'],[[]]
Alejandro Reyes,Educado en,['Universidad de Chile'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Reyes?,['Universidad de Chile'],['chile'],"[['Universidad de Chile', 'UChile']]"
Alejandro Rojas Wainer,Educado en,"['Universidad de Chile', 'Universidad de Ginebra', 'Universidad de York']",Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Rojas Wainer?,"['Universidad de Chile', 'Universidad de Ginebra', 'Universidad de York']","['chile', 'chile', 'chile']","[['Universidad de Chile', 'UChile'], ['Universidad de Ginebra', 'Unige', 'Universite de Geneve', 'Université de Genève'], []]"
Alejandro Ríos Valdivia,Educado en,"['Universidad de Chile', 'Liceo de Aplicación']",Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Ríos Valdivia?,"['Universidad de Chile', 'Liceo de Aplicación']","['chile', 'chile']","[['Universidad de Chile', 'UChile'], []]"
Alejandro Serrano Aguilar,Educado en,['Universidad de Cuenca'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Serrano Aguilar?,['Universidad de Cuenca'],['ecuador'],"[['Universidad de Cuenca', 'Universidad estatal de Cuenca']]"
Alejandro Silva Bascuñán,Educado en,['Pontificia Universidad Católica de Chile'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Silva Bascuñán?,['Pontificia Universidad Católica de Chile'],['chile'],"[['PUC', 'Pontificia Universidad Catolica de Chile', 'Universidad Catolica de Chile', 'Universidad Católica de Chile']]"
Alejandro Sinibaldi,Educado en,['Universidad Rafael Landívar'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Sinibaldi?,['Universidad Rafael Landívar'],['guatemala'],[['Universidad Rafael Landivar']]
Alejandro Tinsly,Educado en,['Universidad de Chile'],Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Tinsly?,['Universidad de Chile'],['chile'],"[['Universidad de Chile', 'UChile']]"
Alejandro Toledo,Educado en,"['Stanford Graduate School of Education', 'Universidad Stanford', 'Universidad de San Francisco']",Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Toledo?,"['Stanford Graduate School of Education', 'Universidad Stanford', 'Universidad de San Francisco']","['peru', 'peru', 'peru']","[[], ['Universidad de Stanford'], ['USF', 'USFCA']]"
Alejandro Venegas,Educado en,"['Instituto Nacional', 'Instituto Pedagógico']",Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Venegas?,"['Instituto Nacional', 'Instituto Pedagógico']","['chile', 'chile']","[['Instituto Nacional', 'Instituto Nacional General José Miguel Carrera', 'Instituto Nacional Jose Miguel Carrera'], ['Instituto Pedagógico']]"
Alejandro Zambra,Educado en,"['Universidad de Chile', 'Pontificia Universidad Católica de Chile', 'Instituto Nacional']",Contesta la siguiente pregunta: ¿Dónde estudió Alejandro Zambra?,"['Universidad de Chile', 'Pontificia Universidad Católica de Chile', 'Instituto Nacional']","['chile', 'chile', 'chile']","[['Universidad de Chile', 'UChile'], ['PUC', 'Pontificia Universidad Catolica de Chile', 'Universidad Catolica de Chile', 'Universidad Católica de Chile', 'Universidad Catolica de Santiago'], ['Instituto Nacional', 'Instituto Nacional General José Miguel Carrera', 'Instituto Nacional Jose Miguel Carrera']]"
Alex Abella,Educado en,['Universidad de Columbia'],Contesta la siguiente pregunta: ¿Dónde estudió Alex Abella?,['Universidad de Columbia'],['cuba'],[['Universidad de Columbia']]
Alex Bowen,Educado en,"['Universidad de Chile', 'Pontificia Universidad Católica de Chile']",Contesta la siguiente pregunta: ¿Dónde estudió Alex Bowen?,"['Universidad de Chile', 'Pontificia Universidad Católica de Chile']","['chile', 'chile']","[['Universidad de Chile', 'UChile'], ['PUC', 'Pontificia Universidad Catolica de Chile', 'Universidad Catolica de Chile', 'Universidad Católica de Chile']]"
Alex Olmedo,Educado en,['Universidad del Sur de California'],Contesta la siguiente pregunta: ¿Dónde estudió Alex Olmedo?,['Universidad del Sur de California'],['peru'],"[['Universidad de California del Sur', 'University of Southern California']]"
Alex Rodríguez,Educado en,"['Escuela Secundaria Cristóbal Colón', 'Escuela Cristiana de Westminster']",Contesta la siguiente pregunta: ¿Dónde estudió Alex Rodríguez?,"['Escuela Secundaria Cristóbal Colón', 'Escuela Cristiana de Westminster']","['republica_dominicana', 'republica_dominicana']","[[], []]"
Alex Zisis,Educado en,['Instituto Hebreo'],Contesta la siguiente pregunta: ¿Dónde estudió Alex Zisis?,['Instituto Hebreo'],['chile'],"[['Instituto Hebreo', 'Instituto Hebreo Chaim Weizmann', 'Instituto Hebreo Doctor Chaim Weizmann', 'Instituto Hebreo Dr Chaim Weizmann', 'Instituto Hebreo Dr. Chaim Weizmann']]"
Alexander Salazar,Educado en,"['Universidad Estatal de California, Los Ángeles', 'Daniel Murphy High School', 'East Los Angeles College', ""St. John's Seminary"", 'Immaculate Heart College']",Contesta la siguiente pregunta: ¿Dónde estudió Alexander Salazar?,"['Universidad Estatal de California, Los Ángeles', 'Daniel Murphy High School', 'East Los Angeles College', ""St. John's Seminary"", 'Immaculate Heart College']","['costa_rica', 'costa_rica', 'costa_rica', 'costa_rica', 'costa_rica']","[[], [], [], [], []]"
Alexandra Salvador,Educado en,['Alcorn State University'],Contesta la siguiente pregunta: ¿Dónde estudió Alexandra Salvador?,['Alcorn State University'],['ecuador'],[[]]
Alexandra Vela,Educado en,"['Universidad de Lima', 'Universidad Católica de Santiago de Guayaquil']",Contesta la siguiente pregunta: ¿Dónde estudió Alexandra Vela?,"['Universidad de Lima', 'Universidad Católica de Santiago de Guayaquil']","['ecuador', 'ecuador']","[['UL', 'ULIMA'], ['Universidad Católica de Santiago de Guayaquil', 'UCSG']]"
Alexis Nahuelquén,Educado en,['Universidad Metropolitana de Ciencias de la Educación'],Contesta la siguiente pregunta: ¿Dónde estudió Alexis Nahuelquén?,['Universidad Metropolitana de Ciencias de la Educación'],['chile'],"[['UMCE', 'Universidad Metropolitana de Ciencias de la Educación']]"
Alfio Piva Mesén,Educado en,"['Universidad de Milán', 'Universidad de Parma']",Contesta la siguiente pregunta: ¿Dónde estudió Alfio Piva Mesén?,"['Universidad de Milán', 'Universidad de Parma']","['costa_rica', 'costa_rica']","[['Universidad de Milan', 'Universita degli Studi di Milano', 'Università degli Studi di Milano'], []]"
Alfonso Alcalde,Educado en,['The British School de Punta Arenas'],Contesta la siguiente pregunta: ¿Dónde estudió Alfonso Alcalde?,['The British School de Punta Arenas'],['chile'],[[]]
Alfonso Asenjo Gómez,Educado en,['Universidad de Chile'],Contesta la siguiente pregunta: ¿Dónde estudió Alfonso Asenjo Gómez?,['Universidad de Chile'],['chile'],"[['Universidad de Chile', 'UChile']]"
Alfonso Bauer Paiz,Educado en,['Universidad de San Carlos de Guatemala'],Contesta la siguiente pregunta: ¿Dónde estudió Alfonso Bauer Paiz?,['Universidad de San Carlos de Guatemala'],['guatemala'],"[['USAC', 'Nacional y Pontificia Universidad de San Carlos Borromeo', 'Real y Pontificia Universidad de San Carlos Borromeo', 'Universidad Nacional de Guatemala']]"
Alfonso Chacón Rodríguez,Educado en,['Universidad Nacional de Mar del Plata'],Contesta la siguiente pregunta: ¿Dónde estudió Alfonso Chacón Rodríguez?,['Universidad Nacional de Mar del Plata'],['costa_rica'],"[['Universidad Nacional de Mar del Plata', 'UNMdP', 'UNMDP']]"
Alfonso Cuarón,Educado en,"['Universidad Nacional Autónoma de México', 'Escuela Nacional de Artes Cinematográficas']",Contesta la siguiente pregunta: ¿Dónde estudió Alfonso Cuarón?,"['Universidad Nacional Autónoma de México', 'Escuela Nacional de Artes Cinematográficas']","['mexico', 'mexico']","[['UNAM', 'Universidad de México'], ['ENAC', 'Centro Universitario de Estudios Cinematográficos', 'CUEC']]"
Alfonso González Núñez,Educado en,['Universidad Nacional de Asunción'],Contesta la siguiente pregunta: ¿Dónde estudió Alfonso González Núñez?,['Universidad Nacional de Asunción'],['paraguay'],"[['UNA', 'Universidad de Asunción', 'Universidad Nacional de Asunción']]"
Alfonso Grados Bertorini,Educado en,['Universidad Nacional Mayor de San Marcos'],Contesta la siguiente pregunta: ¿Dónde estudió Alfonso Grados Bertorini?,['Universidad Nacional Mayor de San Marcos'],['peru'],"[['Universidad San Marcos', 'Universidad de San Marcos', 'Universidad Mayor de San Marcos', 'Universidad Nacional de San Marcos', 'UNMSM']]"
Alfonso Juan-Oliver,Educado en,['Universidad de Chile'],Contesta la siguiente pregunta: ¿Dónde estudió Alfonso Juan-Oliver?,['Universidad de Chile'],['chile'],"[['Universidad de Chile', 'UChile']]"
Alfonso López Pumarejo,Educado en,['Escuela de Economía y Ciencia Política de Londres'],Contesta la siguiente pregunta: ¿Dónde estudió Alfonso López Pumarejo?,['Escuela de Economía y Ciencia Política de Londres'],['colombia'],"[['LSE', 'Escuela de Economía y Ciencia Política de Londres', 'London School of Economics and Political Science']]"
Alfonso Montes,Educado en,['Royal College of Music'],Contesta la siguiente pregunta: ¿Dónde estudió Alfonso Montes?,['Royal College of Music'],['venezuela'],[[]]
Alfonso Orantes,Educado en,"['Universidad de San Carlos de Guatemala', 'Instituto Nacional Central para Varones']",Contesta la siguiente pregunta: ¿Dónde estudió Alfonso Orantes?,"['Universidad de San Carlos de Guatemala', 'Instituto Nacional Central para Varones']","['guatemala', 'guatemala']","[['USAC', 'Nacional y Pontificia Universidad de San Carlos Borromeo', 'Real y Pontificia Universidad de San Carlos Borromeo', 'Universidad Nacional de Guatemala'], ['Instituto Nacional Central para Varones']]"
Alfonso Orueta,Educado en,"[""Instituto O'Higgins de Rancagua""]",Contesta la siguiente pregunta: ¿Dónde estudió Alfonso Orueta?,"[""Instituto O'Higgins de Rancagua""]",['chile'],"[[""Instituto O'Higgins de Rancagua"", 'Colegio Marista de Rancagua']]"
Alfonso Portillo,Educado en,"['Universidad Nacional Autónoma de México', 'Universidad Autónoma de Guerrero']",Contesta la siguiente pregunta: ¿Dónde estudió Alfonso Portillo?,"['Universidad Nacional Autónoma de México', 'Universidad Autónoma de Guerrero']","['guatemala', 'guatemala']","[['UNAM', 'Universidad de México'], ['Universidad Autónoma de Guerrero']]"
Alfonso Robelo,Educado en,['Instituto Politécnico Rensselaer'],Contesta la siguiente pregunta: ¿Dónde estudió Alfonso Robelo?,['Instituto Politécnico Rensselaer'],['nicaragua'],[['Instituto Politécnico Rensselaer']]
Alfredo Bryce Echenique,Educado en,"['Universidad de París 8', 'Facultad de Arte de París', 'Universidad Nacional Mayor de San Marcos']",Contesta la siguiente pregunta: ¿Dónde estudió Alfredo Bryce Echenique?,"['Universidad de París 8', 'Facultad de Arte de París', 'Universidad Nacional Mayor de San Marcos']","['peru', 'peru', 'peru']","[['Universidad de Paris 8', 'Universidad de Paris VIII', 'Université Paris 8'], ['Facultad de Arte de Paris'], ['Universidad San Marcos', 'Universidad de San Marcos', 'Universidad Mayor de San Marcos', 'Universidad Nacional de San Marcos', 'UNMSM']]"
Alfredo Duhalde,Educado en,['Liceo de Aplicación'],Contesta la siguiente pregunta: ¿Dónde estudió Alfredo Duhalde?,['Liceo de Aplicación'],['chile'],[[]]
Alfredo Espino Najarro,Educado en,['Universidad de El Salvador'],Contesta la siguiente pregunta: ¿Dónde estudió Alfredo Espino Najarro?,['Universidad de El Salvador'],['el_salvador'],[['Universidad Nacional de El Salvador']]
Alfredo Jaar,Educado en,['Universidad de Chile'],Contesta la siguiente pregunta: ¿Dónde estudió Alfredo Jaar?,['Universidad de Chile'],['chile'],"[['Universidad de Chile', 'UChile']]"
Alfredo Martínez Moreno,Educado en,['Universidad de El Salvador'],Contesta la siguiente pregunta: ¿Dónde estudió Alfredo Martínez Moreno?,['Universidad de El Salvador'],['el_salvador'],[['Universidad Nacional de El Salvador']]
Alfredo Perl,Educado en,"['Hochschule für Musik und Tanz Köln', 'Conservatorio Nacional de Música', 'Colegio Alemán de Santiago']",Contesta la siguiente pregunta: ¿Dónde estudió Alfredo Perl?,"['Hochschule für Musik und Tanz Köln', 'Conservatorio Nacional de Música', 'Colegio Alemán de Santiago']","['chile', 'chile', 'chile']","[['Hochschule für Musik und Tanz Köln', 'Hochschule fur Musik und Tanz Koln', 'Hochschule für Musik Köln'], ['Conservatorio Nacional de Música'], ['Colegio Alemán de Santiago', 'Deutsche Schule Santiago']]"
Alfredo Poviña,Educado en,['Universidad Nacional de Córdoba'],Contesta la siguiente pregunta: ¿Dónde estudió Alfredo Poviña?,['Universidad Nacional de Córdoba'],['argentina'],"[['Universidad Nacional de Córdoba', 'Universidad Nacional Mayor de San Carlos']]"
Alfredo Stroessner,Educado en,"['Escuela de Armas', 'Academia Militar Mcal. Francisco Solano López']",Contesta la siguiente pregunta: ¿Dónde estudió Alfredo Stroessner?,"['Escuela de Armas', 'Academia Militar Mcal. Francisco Solano López']","['paraguay', 'paraguay']","[[], ['Academia Militar Mariscal Francisco Solano Lopez']]"
Alicia Alonso,Educado en,['Escuela de Ballet estadounidense'],Contesta la siguiente pregunta: ¿Dónde estudió Alicia Alonso?,['Escuela de Ballet estadounidense'],['cuba'],[['Escuela de Ballet Americana']]
Alina Garciamendez,Educado en,['Universidad Stanford'],Contesta la siguiente pregunta: ¿Dónde estudió Alina Garciamendez?,['Universidad Stanford'],['mexico'],[['Universidad de Stanford']]
Alirio Díaz,Educado en,['Accademia Musicale Chigiana'],Contesta la siguiente pregunta: ¿Dónde estudió Alirio Díaz?,['Accademia Musicale Chigiana'],['venezuela'],"[['Accademia Chigiana', 'Accademia musicale chigiana']]"
Alison Lohman,Educado en,"['Real Academia de Arte Dramático', 'Palm Desert High School']",Contesta la siguiente pregunta: ¿Dónde estudió Alison Lohman?,"['Real Academia de Arte Dramático', 'Palm Desert High School']","['usa', 'usa']","[['RADA', 'Real Academia de Arte Dramático', 'Royal Academy of Dramatic Art'], []]"
Alonso Cueto,Educado en,['Pontificia Universidad Católica del Perú'],Contesta la siguiente pregunta: ¿Dónde estudió Alonso Cueto?,['Pontificia Universidad Católica del Perú'],['peru'],"[['Pontificia Universidad Catolica del Peru', 'PUCP']]"
Alvaro González Ricci,Educado en,['Universidad Rafael Landívar'],Contesta la siguiente pregunta: ¿Dónde estudió Alvaro González Ricci?,['Universidad Rafael Landívar'],['guatemala'],[['Universidad Rafael Landivar']]
Amadeo Roldán,Educado en,['Real Conservatorio Superior de Música de Madrid'],Contesta la siguiente pregunta: ¿Dónde estudió Amadeo Roldán?,['Real Conservatorio Superior de Música de Madrid'],['cuba'],"[['Conservatorio de Madrid', 'Conservatorio de Musica de Madrid', 'Conservatorio de Música de Madrid', 'Conservatorio Superior de Madrid', 'Conservatorio Superior de Musica de Madrid']]"
Amalia Chaverri Fonseca,Educado en,['Universidad de Costa Rica'],Contesta la siguiente pregunta: ¿Dónde estudió Amalia Chaverri Fonseca?,['Universidad de Costa Rica'],['costa_rica'],"[['Universidad de Costa Rica', 'UCR']]"
Amaya Coppens,Educado en,"['Li Po Chun United World College', 'Universidad Nacional Autónoma de Nicaragua-León']",Contesta la siguiente pregunta: ¿Dónde estudió Amaya Coppens?,"['Li Po Chun United World College', 'Universidad Nacional Autónoma de Nicaragua-León']","['nicaragua', 'nicaragua']","[[], ['Universidad Nacional Autónoma de Nicaragua-León', 'UNAN-León']]"
Amaya González,Educado en,['Universidad de Colorado en Boulder'],Contesta la siguiente pregunta: ¿Dónde estudió Amaya González?,['Universidad de Colorado en Boulder'],['el_salvador'],[[]]
Amelia Earhart,Educado en,"['Universidad de Columbia', 'St. Paul Central High School', 'Hyde Park Academy High School']",Contesta la siguiente pregunta: ¿Dónde estudió Amelia Earhart?,"['Universidad de Columbia', 'St. Paul Central High School', 'Hyde Park Academy High School']","['usa', 'usa', 'usa']","[['Columbia University'], [], []]"
Amelia Rueda,Educado en,['Universidad de Costa Rica'],Contesta la siguiente pregunta: ¿Dónde estudió Amelia Rueda?,['Universidad de Costa Rica'],['costa_rica'],"[['Universidad de Costa Rica', 'UCR']]"
Aminta Buenaño,Educado en,['Universidad Católica de Santiago de Guayaquil'],Contesta la siguiente pregunta: ¿Dónde estudió Aminta Buenaño?,['Universidad Católica de Santiago de Guayaquil'],['ecuador'],"[['UCSG', 'Universidad Catolica de Santiago de Guayaquil']]"
Amir Valle,Educado en,['Universidad de La Habana'],Contesta la siguiente pregunta: ¿Dónde estudió Amir Valle?,['Universidad de La Habana'],['cuba'],[['Universidad de La Habana']]
Amílcar Pop,Educado en,['Universidad de San Carlos de Guatemala'],Contesta la siguiente pregunta: ¿Dónde estudió Amílcar Pop?,['Universidad de San Carlos de Guatemala'],['guatemala'],"[['USAC', 'Nacional y Pontificia Universidad de San Carlos Borromeo', 'Real y Pontificia Universidad de San Carlos Borromeo', 'Universidad Nacional de Guatemala']]"
Ana Galarza,Educado en,['Pontificia Universidad Católica del Ecuador'],Contesta la siguiente pregunta: ¿Dónde estudió Ana Galarza?,['Pontificia Universidad Católica del Ecuador'],['ecuador'],"[['Pontificia Universidad Católica del Ecuador', 'Puce']]"
Ana García Carías,Educado en,"['Universidad de Albany', 'Universidad Nacional Autónoma de Honduras']",Contesta la siguiente pregunta: ¿Dónde estudió Ana García Carías?,"['Universidad de Albany', 'Universidad Nacional Autónoma de Honduras']","['honduras', 'honduras']","[['Universidad de Albany', 'SUNY Albany'], ['UNAH', 'Universidad Nacional Autonoma de Honduras', 'Universidad Nacional de Honduras']]"
Ana Karina Manco,Educado en,['Universidad Santa María'],Contesta la siguiente pregunta: ¿Dónde estudió Ana Karina Manco?,['Universidad Santa María'],['venezuela'],[['Universidad Santa Maria']]
Ana Lya Uriarte,Educado en,"['Universidad de Buenos Aires', 'Universidad de Chile']",Contesta la siguiente pregunta: ¿Dónde estudió Ana Lya Uriarte?,"['Universidad de Buenos Aires', 'Universidad de Chile']","['chile', 'chile']","[['UBA', 'Universidad de Bs. As.', 'Universidad Nacional de Buenos Aires'], ['Universidad de Chile', 'UChile']]"
Ana Mendieta,Educado en,['Universidad de Iowa'],Contesta la siguiente pregunta: ¿Dónde estudió Ana Mendieta?,['Universidad de Iowa'],['cuba'],"[['La Universidad de Iowa', 'Universidad del Estado de Iowa']]"
Ana Mercedes Asuaje de Rugeles,Educado en,['Universidad Católica de América'],Contesta la siguiente pregunta: ¿Dónde estudió Ana Mercedes Asuaje de Rugeles?,['Universidad Católica de América'],['venezuela'],[['Universidad Católica de América']]
