entidad,relacion,objetos,pregunta,respuestas,obtenido_de
José Caballero,Ocupación,['beisbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Caballero?,['beisbolista'],['panama']
José Cabrera,Ocupación,['beisbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Cabrera?,['beisbolista'],['republica_dominicana']
José Calderón,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Calderón?,['futbolista'],['panama']
José Cardona,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Cardona?,['futbolista'],['honduras']
José Carlos Castillo,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Carlos Castillo?,['futbolista'],['guatemala']
José Carlos Chaves,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Carlos Chaves?,"['entrenador', 'futbolista']","['costa_rica', 'costa_rica']"
José Carlos Fernández Piedra,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Carlos Fernández Piedra?,['futbolista'],['peru']
José Carlos Ortiz,Ocupación,['árbitro de fútbol'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Carlos Ortiz?,['árbitro de fútbol'],['el_salvador']
José Carlos Somoza,Ocupación,"['psiquiatra', 'médico-escritor', 'escritor de ciencia ficción']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Carlos Somoza?,"['psiquiatra', 'médico-escritor', 'escritor de ciencia ficción']","['cuba', 'cuba', 'cuba']"
José Carvajal,Ocupación,['jugador de fútbol sala'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Carvajal?,['jugador de fútbol sala'],['costa_rica']
José Carvallo,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Carvallo?,['futbolista'],['peru']
José Castelblanco,Ocupación,['ciclista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Castelblanco?,['ciclista'],['colombia']
José Castulo Zeledón,Ocupación,['ornitólogo'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Castulo Zeledón?,['ornitólogo'],['costa_rica']
José Ceda,Ocupación,['beisbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Ceda?,['beisbolista'],['republica_dominicana']
José Clemente Orozco,Ocupación,"['pintor', 'muralista', 'dibujante']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Clemente Orozco?,"['pintor', 'muralista', 'dibujante']","['mexico', 'mexico', 'mexico']"
José Constanza,Ocupación,['beisbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Constanza?,['beisbolista'],['republica_dominicana']
José Coppinger,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Coppinger?,['político'],['cuba']
José Coronel Hurtecho,Ocupación,"['poeta', 'diplomático', 'historiador', 'traductor', 'crítico literario', 'lingüista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Coronel Hurtecho?,"['poeta', 'diplomático', 'historiador', 'traductor', 'crítico literario', 'lingüista']","['nicaragua', 'nicaragua', 'nicaragua', 'nicaragua', 'nicaragua', 'nicaragua']"
José Cáceres,Ocupación,['voleibolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Cáceres?,['voleibolista'],['republica_dominicana']
José Cóceres,Ocupación,['golfista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Cóceres?,['golfista'],['argentina']
José Damián Villacorta,Ocupación,"['abogado', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Damián Villacorta?,"['abogado', 'político']","['el_salvador', 'el_salvador']"
José Daniel Crespo,Ocupación,"['escritor', 'político', 'diplomático', 'educador']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Daniel Crespo?,"['escritor', 'político', 'diplomático', 'educador']","['panama', 'panama', 'panama', 'panama']"
José Danilo Tobías,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Danilo Tobías?,['futbolista'],['honduras']
José Defran,Ocupación,['luchador'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Defran?,['luchador'],['republica_dominicana']
José Delio Ares García,Ocupación,['editor de cine'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Delio Ares García?,['editor de cine'],['republica_dominicana']
José Desiderio Valverde,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Desiderio Valverde?,['político'],['republica_dominicana']
José Diego Álvarez P.,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Diego Álvarez P.?,['futbolista'],['panama']
José Dimas Cedeño Delgado,Ocupación,"['sacerdote católico', 'obispo católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Dimas Cedeño Delgado?,"['sacerdote católico', 'obispo católico']","['panama', 'panama']"
José Dionisio Marenco Gutiérrez,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Dionisio Marenco Gutiérrez?,['político'],['nicaragua']
José Dolores Cerón,Ocupación,['compositor'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Dolores Cerón?,['compositor'],['republica_dominicana']
José Dolores Estrada Morales,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Dolores Estrada Morales?,['político'],['nicaragua']
José Dolores Estrada Vado,Ocupación,['militar'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Dolores Estrada Vado?,['militar'],['nicaragua']
José Dolores Grullón Estrella,Ocupación,"['sacerdote católico', 'obispo católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Dolores Grullón Estrella?,"['sacerdote católico', 'obispo católico']","['republica_dominicana', 'republica_dominicana']"
José Dolores Gámez Guzmán,Ocupación,"['político', 'historiador']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Dolores Gámez Guzmán?,"['político', 'historiador']","['nicaragua', 'nicaragua']"
José Dolores Moscote,Ocupación,"['abogado', 'educador']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Dolores Moscote?,"['abogado', 'educador']","['panama', 'panama']"
José Dolores Urriola,Ocupación,['poeta'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Dolores Urriola?,['poeta'],['panama']
José Domingo De Obaldía,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Domingo De Obaldía?,['político'],['panama']
José Domingo Salcedo,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Domingo Salcedo?,"['entrenador', 'futbolista']","['paraguay', 'paraguay']"
José Donoso,Ocupación,"['escritor', 'periodista', 'guionista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Donoso?,"['escritor', 'periodista', 'guionista']","['chile', 'chile', 'chile']"
José Dutriz,Ocupación,['periodista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Dutriz?,['periodista'],['el_salvador']
José Edgardo Cal Montoya,Ocupación,['historiador'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Edgardo Cal Montoya?,['historiador'],['guatemala']
José Eduardo Bernal,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Eduardo Bernal?,['futbolista'],['panama']
José Eduardo Velásquez Tarazona,Ocupación,"['sacerdote católico', 'obispo católico', 'filósofo']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Eduardo Velásquez Tarazona?,"['sacerdote católico', 'obispo católico', 'filósofo']","['peru', 'peru', 'peru']"
José Eduardo de Cárdenas,Ocupación,"['escritor', 'poeta', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Eduardo de Cárdenas?,"['escritor', 'poeta', 'político']","['mexico', 'mexico', 'mexico']"
José Eduvigis Díaz,Ocupación,['líder militar'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Eduvigis Díaz?,['líder militar'],['paraguay']
José Eliseo Fleitas,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Eliseo Fleitas?,"['entrenador', 'futbolista']","['paraguay', 'paraguay']"
José Elías Rauda Gutiérrez,Ocupación,"['sacerdote católico', 'obispo católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Elías Rauda Gutiérrez?,"['sacerdote católico', 'obispo católico']","['el_salvador', 'el_salvador']"
José Ernesto Chapuseaux,Ocupación,"['compositor', 'cantante', 'bailarín', 'artista discográfico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Ernesto Chapuseaux?,"['compositor', 'cantante', 'bailarín', 'artista discográfico']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana', 'republica_dominicana']"
José Escalante,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Escalante?,"['entrenador', 'futbolista']","['honduras', 'honduras']"
José Escolástico Andrino,Ocupación,"['compositor', 'político', 'profesor de música']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Escolástico Andrino?,"['compositor', 'político', 'profesor de música']","['el_salvador', 'el_salvador', 'el_salvador']"
José Escolástico Marín,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Escolástico Marín?,['político'],['el_salvador']
José Espinal,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Espinal?,['futbolista'],['republica_dominicana']
José Esteban Valle,Ocupación,['atleta'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Esteban Valle?,['atleta'],['nicaragua']
José Eulalio Samayoa,Ocupación,['compositor'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Eulalio Samayoa?,['compositor'],['guatemala']
José Eustasio Rivera,Ocupación,"['escritor', 'abogado', 'diplomático']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Eustasio Rivera?,"['escritor', 'abogado', 'diplomático']","['colombia', 'colombia', 'colombia']"
José Evaristo de Uriburu,Ocupación,"['abogado', 'político', 'diplomático']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Evaristo de Uriburu?,"['abogado', 'político', 'diplomático']","['argentina', 'argentina', 'argentina']"
José Farías,Ocupación,['atleta'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Farías?,['atleta'],['peru']
José Fernando Santa,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Fernando Santa?,"['entrenador', 'futbolista']","['colombia', 'colombia']"
José Florencio Guzmán,Ocupación,"['abogado', 'político', 'diplomático']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Florencio Guzmán?,"['abogado', 'político', 'diplomático']","['chile', 'chile', 'chile']"
José Francisco Bermúdez,Ocupación,"['militar', 'revolucionario']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Francisco Bermúdez?,"['militar', 'revolucionario']","['venezuela', 'venezuela']"
José Francisco Bustillo Murcia,Ocupación,"['abogado', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Francisco Bustillo Murcia?,"['abogado', 'político']","['honduras', 'honduras']"
José Francisco Gómez y Argüelles,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Francisco Gómez y Argüelles?,['político'],['honduras']
José Francisco Jovel,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Francisco Jovel?,['futbolista'],['el_salvador']
José Francisco Milla Guevara,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Francisco Milla Guevara?,['político'],['honduras']
José Francisco Montes Fonseca,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Francisco Montes Fonseca?,['político'],['nicaragua']
José Francisco Porras,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Francisco Porras?,['futbolista'],['costa_rica']
José Francisco Ulloa,Ocupación,"['sacerdote católico', 'obispo católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Francisco Ulloa?,"['sacerdote católico', 'obispo católico']","['costa_rica', 'costa_rica']"
José Francisco Valladares,Ocupación,['entrenador'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Francisco Valladares?,['entrenador'],['honduras']
José Francisco Zelaya y Ayes,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Francisco Zelaya y Ayes?,['político'],['honduras']
José Francisco de la Ossa,Ocupación,"['abogado', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Francisco de la Ossa?,"['abogado', 'político']","['panama', 'panama']"
José Francisco del Montenegro,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Francisco del Montenegro?,['político'],['nicaragua']
José Franco,Ocupación,"['escritor', 'abogado', 'poeta', 'diplomático', 'periodista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Franco?,"['escritor', 'abogado', 'poeta', 'diplomático', 'periodista']","['panama', 'panama', 'panama', 'panama', 'panama']"
José Froilán González,Ocupación,"['piloto de automovilismo', 'piloto de Fórmula Uno']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Froilán González?,"['piloto de automovilismo', 'piloto de Fórmula Uno']","['argentina', 'argentina']"
José Félix Estigarribia,Ocupación,"['político', 'oficial militar', 'diplomático']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Félix Estigarribia?,"['político', 'oficial militar', 'diplomático']","['paraguay', 'paraguay', 'paraguay']"
José Félix Quirós,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Félix Quirós?,['político'],['el_salvador']
José Félix Uriburu,Ocupación,"['militar', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Félix Uriburu?,"['militar', 'político']","['argentina', 'argentina']"
José Félix Valdivieso,Ocupación,"['político', 'diplomático']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Félix Valdivieso?,"['político', 'diplomático']","['ecuador', 'ecuador']"
José Gabriel Díaz Cueva,Ocupación,"['sacerdote católico', 'obispo católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Gabriel Díaz Cueva?,"['sacerdote católico', 'obispo católico']","['ecuador', 'ecuador']"
José Garcia Bauer,Ocupación,['historiador'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Garcia Bauer?,['historiador'],['guatemala']
José Garro,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Garro?,['futbolista'],['costa_rica']
José Gaspar Rodríguez de Francia,Ocupación,"['abogado', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Gaspar Rodríguez de Francia?,"['abogado', 'político']","['paraguay', 'paraguay']"
José Gavica,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Gavica?,['futbolista'],['ecuador']
José González,Ocupación,"['cantante', 'cantautor', 'compositor de canciones', 'guitarrista', 'luchador']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José González?,"['cantante', 'cantautor', 'compositor de canciones', 'guitarrista', 'luchador']","['argentina', 'argentina', 'argentina', 'argentina', 'nicaragua']"
José Gregorio Argomedo,Ocupación,"['juez', 'abogado', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Gregorio Argomedo?,"['juez', 'abogado', 'político']","['chile', 'chile', 'chile']"
José Gregorio Hernández,Ocupación,['médico'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Gregorio Hernández?,['médico'],['venezuela']
José Gregorio Valera,Ocupación,"['militar', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Gregorio Valera?,"['militar', 'político']","['venezuela', 'venezuela']"
José Guerra,Ocupación,['saltador'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Guerra?,['saltador'],['cuba']
José Guillermo Cortines,Ocupación,"['actor', 'cantante', 'presentador de televisión', 'actor de televisión']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Guillermo Cortines?,"['actor', 'cantante', 'presentador de televisión', 'actor de televisión']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana', 'republica_dominicana']"
José Guillermo del Solar,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Guillermo del Solar?,"['entrenador', 'futbolista']","['peru', 'peru']"
José Gálvez Egúsquiza,Ocupación,"['abogado', 'militar', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Gálvez Egúsquiza?,"['abogado', 'militar', 'político']","['peru', 'peru', 'peru']"
José Gómez Mustelier,Ocupación,['boxeador'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Gómez Mustelier?,['boxeador'],['cuba']
José Güity,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Güity?,['futbolista'],['honduras']
José Hidalgo,Ocupación,"['escritor', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Hidalgo?,"['escritor', 'futbolista']","['guatemala', 'guatemala']"
José Humberto Quintero,Ocupación,"['escritor', 'poeta', 'sacerdote católico', 'obispo católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Humberto Quintero?,"['escritor', 'poeta', 'sacerdote católico', 'obispo católico']","['venezuela', 'venezuela', 'venezuela', 'venezuela']"
José Ignacio Rivero,Ocupación,['periodista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Ignacio Rivero?,['periodista'],['cuba']
José Ignacio de Márquez,Ocupación,"['abogado', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Ignacio de Márquez?,"['abogado', 'político']","['colombia', 'colombia']"
José Jaikel,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Jaikel?,"['entrenador', 'futbolista']","['costa_rica', 'costa_rica']"
José Javier Eguiguren,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Javier Eguiguren?,['político'],['ecuador']
José Javier del Águila,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Javier del Águila?,['futbolista'],['guatemala']
José Jhonson,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Jhonson?,['futbolista'],['ecuador']
José Joaquín Bidó Medina,Ocupación,"['abogado', 'político', 'académico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Joaquín Bidó Medina?,"['abogado', 'político', 'académico']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana']"
José Joaquín Fernández de Lizardi,Ocupación,"['escritor', 'poeta', 'periodista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Joaquín Fernández de Lizardi?,"['escritor', 'poeta', 'periodista']","['mexico', 'mexico', 'mexico']"
José Joaquín Palma,Ocupación,"['poeta', 'diplomático', 'periodista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Joaquín Palma?,"['poeta', 'diplomático', 'periodista']","['guatemala', 'guatemala', 'guatemala']"
José Joaquín Rodríguez Zeledón,Ocupación,"['juez', 'abogado', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Joaquín Rodríguez Zeledón?,"['juez', 'abogado', 'político']","['costa_rica', 'costa_rica', 'costa_rica']"
José Joaquín Trejos Fernández,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Joaquín Trejos Fernández?,['político'],['costa_rica']
José Joaquín de Olmedo,Ocupación,"['terrateniente', 'escritor', 'abogado', 'poeta', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Joaquín de Olmedo?,"['terrateniente', 'escritor', 'abogado', 'poeta', 'político']","['ecuador', 'ecuador', 'ecuador', 'ecuador', 'ecuador']"
José Juan Rivera Ramos,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Juan Rivera Ramos?,['político'],['honduras']
José Justavino,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Justavino?,['futbolista'],['panama']
José Justo Milla,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Justo Milla?,['político'],['honduras']
José Laureano Pineda Ugarte,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Laureano Pineda Ugarte?,['político'],['nicaragua']
José Leguizamón,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Leguizamón?,['futbolista'],['paraguay']
José Leitón,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Leitón?,['futbolista'],['costa_rica']
José Leonardo Cáceres,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Leonardo Cáceres?,"['entrenador', 'futbolista']","['paraguay', 'paraguay']"
José Lezama Lima,Ocupación,"['escritor', 'poeta', 'jurista', 'poeta abogado', 'pensador']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Lezama Lima?,"['escritor', 'poeta', 'jurista', 'poeta abogado', 'pensador']","['cuba', 'cuba', 'cuba', 'cuba', 'cuba']"
José Lezcano,Ocupación,['jockey'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Lezcano?,['jockey'],['panama']
José León Sandoval,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José León Sandoval?,['político'],['nicaragua']
José Lima,Ocupación,"['cantante', 'beisbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Lima?,"['cantante', 'beisbolista']","['republica_dominicana', 'republica_dominicana']"
José Lino Matute,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Lino Matute?,['político'],['honduras']
José Lugo Quiñonez,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Lugo Quiñonez?,['futbolista'],['ecuador']
José Luis Appleyard,Ocupación,"['abogado', 'poeta', 'dramaturgo', 'periodista', 'editor']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Appleyard?,"['abogado', 'poeta', 'dramaturgo', 'periodista', 'editor']","['paraguay', 'paraguay', 'paraguay', 'paraguay', 'paraguay']"
José Luis Azuaje Ayala,Ocupación,"['sacerdote católico', 'obispo católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Azuaje Ayala?,"['sacerdote católico', 'obispo católico']","['venezuela', 'venezuela']"
José Luis Bustamante y Rivero,Ocupación,"['diplomático', 'profesor universitario', 'juez', 'abogado', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Bustamante y Rivero?,"['diplomático', 'profesor universitario', 'juez', 'abogado', 'político']","['peru', 'peru', 'peru', 'peru', 'peru']"
José Luis Cabrera,Ocupación,"['productor de televisión', 'pintor']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Cabrera?,"['productor de televisión', 'pintor']","['guatemala', 'guatemala']"
José Luis Carranza,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Carranza?,['futbolista'],['peru']
José Luis Celi,Ocupación,['pintor'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Celi?,['pintor'],['ecuador']
José Luis Chilavert,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Chilavert?,['futbolista'],['paraguay']
José Luis Escobar Alas,Ocupación,"['sacerdote católico', 'obispo católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Escobar Alas?,"['sacerdote católico', 'obispo católico']","['el_salvador', 'el_salvador']"
José Luis Flecha,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Flecha?,['futbolista'],['paraguay']
José Luis Fuentes,Ocupación,['árbitro de fútbol'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Fuentes?,['árbitro de fútbol'],['honduras']
José Luis Garcés,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Garcés?,['futbolista'],['panama']
José Luis Granda Bravo,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Granda Bravo?,['futbolista'],['peru']
José Luis Lacunza Maestrojuán,Ocupación,"['sacerdote católico', 'fraile', 'obispo católico', 'misionero católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Lacunza Maestrojuán?,"['sacerdote católico', 'fraile', 'obispo católico', 'misionero católico']","['panama', 'panama', 'panama', 'panama']"
José Luis López Ramírez,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis López Ramírez?,['futbolista'],['costa_rica']
José Luis Meza,Ocupación,['boxeador'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Meza?,['boxeador'],['ecuador']
José Luis Mora,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Mora?,['futbolista'],['costa_rica']
José Luis Munguía,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Munguía?,['futbolista'],['el_salvador']
José Luis Perlaza,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Perlaza?,['futbolista'],['ecuador']
José Luis Pineda,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Pineda?,"['entrenador', 'futbolista']","['honduras', 'honduras']"
José Luis Quiñónez,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Quiñónez?,['futbolista'],['ecuador']
José Luis Reyes Monroy,Ocupación,['historiador'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Reyes Monroy?,['historiador'],['guatemala']
José Luis Rodríguez Pittí,Ocupación,"['guionista', 'fotógrafo', 'escritor', 'poeta', 'ingeniero', 'productor de televisión', 'pintor']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Rodríguez Pittí?,"['guionista', 'fotógrafo', 'escritor', 'poeta', 'ingeniero', 'productor de televisión', 'pintor']","['panama', 'panama', 'panama', 'panama', 'panama', 'panama', 'panama']"
José Luis Rodríguez Vélez,Ocupación,"['compositor', 'director de orquesta', 'saxofonista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Rodríguez Vélez?,"['compositor', 'director de orquesta', 'saxofonista']","['panama', 'panama', 'panama']"
José Luis Rugamas,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Rugamas?,['futbolista'],['el_salvador']
José Luis Sánchez Besa,Ocupación,"['abogado', 'piloto de aviación']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Sánchez Besa?,"['abogado', 'piloto de aviación']","['chile', 'chile']"
José Luis Trejo,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Luis Trejo?,"['entrenador', 'futbolista']","['mexico', 'mexico']"
José Madriz Rodríguez,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Madriz Rodríguez?,['político'],['nicaragua']
José Manuel Calderón,Ocupación,"['compositor', 'cantante', 'guitarrista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Manuel Calderón?,"['compositor', 'cantante', 'guitarrista']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana']"
José Manuel Muñoz,Ocupación,['luchador'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Manuel Muñoz?,['luchador'],['republica_dominicana']
José Mariano Méndez,Ocupación,"['político', 'sacerdote católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Mariano Méndez?,"['político', 'sacerdote católico']","['el_salvador', 'el_salvador']"
